"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"207035_at",-3.95588943502412,5.98037846861348,-17.6052736594513,1.32070332204181e-32,7.21275705266693e-28,63.3797031154736
"204162_at",5.14260342552294,6.84930488147724,15.5611236601338,1.26244251040428e-28,3.44728864103544e-24,54.4527853054441
"222565_s_at",2.73438286655193,8.26122552361053,15.2847247227846,4.53819999040926e-28,8.26149053587403e-24,53.2032773280533
"201292_at",5.98325734587662,8.41240025666983,14.9471553748309,2.19299156763653e-27,2.99414621208334e-23,51.6638824696375
"215020_at",-3.89780312319713,5.26282482214783,-14.7284118508516,6.13133020736786e-27,6.69700673229962e-23,50.65862776641
"1556749_at",-3.69323381897237,4.50238282078409,-14.492810075984,1.86744690496343e-26,1.6997812970128e-22,49.5692032139792
"233144_s_at",-2.84539259733925,5.01576672633635,-14.0953087901694,1.24077749991992e-25,9.68036880044668e-22,47.7157277202229
"201291_s_at",6.4699340160898,7.56356996324558,13.813209093828,4.80952116719772e-25,3.28327974380211e-21,46.3888967034365
"215700_x_at",-4.10591183006622,6.19142287386475,-13.598282390735,1.35819134641891e-24,8.24165600021955e-21,45.3718141289165
"241672_at",-3.07545417704357,7.88183588506431,-13.5296164319727,1.89435395612619e-24,1.03456352605919e-20,45.0457660543864
"218678_at",3.1441473937027,11.8920516634918,13.4202740088237,3.22114507206005e-24,1.59923996200378e-20,44.5254866330267
"200920_s_at",1.82896974531229,11.8775871894649,13.395905974026,3.62631106664637e-24,1.65036438568965e-20,44.4093570088573
"215434_x_at",1.87877777528243,10.5481748118782,13.3432220183628,4.68600794611479e-24,1.96859193816282e-20,44.1580608685259
"225655_at",3.97463471394423,9.86589870148784,13.2516600427832,7.32150238254899e-24,2.77342845349752e-20,43.7206027195571
"214693_x_at",2.11861410794828,10.7480485712988,13.2435365771431,7.61749524883504e-24,2.77342845349752e-20,43.6817472897515
"214722_at",2.00768569987436,11.7343947107104,13.1861106114366,1.00825356191519e-23,3.44148448605463e-20,43.4068709308423
"225219_at",1.30709870517454,10.9216001658879,13.0633277461546,1.83817486859501e-23,5.90519082932821e-20,42.8179822148458
"201890_at",5.02270943266302,8.62059645577812,13.050459189255,1.95776412695618e-23,5.93996512585876e-20,42.756170674406
"203358_s_at",3.02959228531543,8.66053632778488,13.0367110615978,2.09417415979938e-23,6.01942807311177e-20,42.6901152444441
"209108_at",1.74154274726702,10.742547283892,12.9474009582256,3.24517933831089e-23,8.817841261134e-20,42.2605323899997
"221539_at",3.22468702199179,8.63711480936026,12.9384673411579,3.39067010572234e-23,8.817841261134e-20,42.2175164850256
"225060_at",-1.86504734743988,10.2294916279361,-12.9224864658643,3.66746380565466e-23,9.0164761059889e-20,42.1405472954398
"207162_s_at",-2.43059168078442,4.3316585693682,-12.9154061026246,3.79724516942385e-23,9.0164761059889e-20,42.1064376071836
"213921_at",-3.78691367097854,8.9449899300158,-12.9040284962536,4.01552301653565e-23,9.03451760890133e-20,42.0516152571968
"223239_at",-1.13441345689498,10.283735367643,-12.8980266364018,4.13569919657469e-23,9.03451760890133e-20,42.0226903449024
"204825_at",4.46386610809928,7.8164187216808,12.8895329305642,4.31196748876526e-23,9.05728771015142e-20,41.9817501815134
"221702_s_at",-1.07561767963498,11.8223757360767,-12.80774793344,6.44715538802946e-23,1.30406850817205e-19,41.5871699749905
"202095_s_at",4.23055700914328,7.53631448941771,12.7461673868503,8.73145659465091e-23,1.70303942501311e-19,41.2896281293917
"228095_at",1.46034506382197,9.76457368952802,12.7133499501613,1.02646783675414e-22,1.93305130926392e-19,41.130909823318
"212213_x_at",-1.05891046671709,10.9333285314159,-12.6988132250254,1.1027597380694e-22,2.00750058583946e-19,41.0605707163534
"228747_at",-1.37351575811541,9.79355104118776,-12.6838787486068,1.18707259240706e-22,2.08819383713875e-19,40.9882855714155
"212533_at",3.17750309701827,9.82231324670999,12.6777433115888,1.22355854445718e-22,2.08819383713875e-19,40.9585828409089
"209113_s_at",2.16020490318434,8.46124653560691,12.6696924757444,1.27314828405769e-22,2.09102164347963e-19,40.919601791507
"216056_at",2.96783364336181,6.74649710828013,12.6651845147968,1.30179143936988e-22,2.09102164347963e-19,40.8977721187
"212880_at",-1.94986959016799,10.4207980686439,-12.6367525186039,1.49796506990892e-22,2.33738189608388e-19,40.7600457817376
"232125_at",2.3912444152236,9.66206733534173,12.5671360553622,2.11300353377221e-22,3.20548505527505e-19,40.422492351711
"214293_at",-2.58708899811431,9.4630127067126,-12.5271336562488,2.57532849551128e-22,3.8012544628475e-19,40.228322445061
"212680_x_at",2.02193704848432,9.73418082955953,12.3788904109233,5.36815152669762e-22,7.71502261388256e-19,39.5074591606928
"218663_at",4.32970824631696,6.66962413691106,12.3569120504138,5.986723088304e-22,8.38340789798837e-19,39.4004139219884
"224801_at",-2.19339076034444,10.9249244466416,-12.3515713938404,6.14753864592502e-22,8.39338820174758e-19,39.3743957746091
"201426_s_at",1.86543058030414,13.9497510801648,12.3022335942198,7.85419935922043e-22,1.04619851123196e-18,39.1339155177528
"209109_s_at",2.16458260533259,10.3087481343895,12.293194619786,8.21494951976471e-22,1.06819770981645e-18,39.0898346578203
"201029_s_at",1.84411353101346,13.2708370197569,12.251560696292,1.01035769785263e-21,1.28322476634478e-18,38.886703248904
"218868_at",-1.7953076079952,9.52975943519612,-12.2415156156946,1.0621057246739e-21,1.31829045321854e-18,38.8376706693658
"229890_at",-2.55009536041921,9.78798356875368,-12.2345240764526,1.09968501539413e-21,1.33460217212711e-18,38.8035380052165
"225781_at",-1.88618624307279,10.1019394990485,-12.2188992438508,1.18856167929871e-21,1.4111069345987e-18,38.7272422826945
"208808_s_at",1.88744251670506,11.722198087703,12.190782545167,1.36704469928693e-21,1.58847685451398e-18,38.5898958510467
"211780_x_at",-1.13749476303713,11.1449226058347,-12.1729177053173,1.49418315964952e-21,1.70003801870707e-18,38.5025931003482
"211271_x_at",1.9416024848662,11.0968751129277,12.1622984757511,1.57531137964248e-21,1.73142182246312e-18,38.4506856078576
"203989_x_at",3.28309393498955,9.81869897653591,12.1610451293469,1.58517369716287e-21,1.73142182246312e-18,38.444558533693
"209790_s_at",2.13727183724362,8.13931493038143,12.1463397827279,1.7056201814598e-21,1.82645166607969e-18,38.372660406859
"208869_s_at",-1.95033464503565,10.3406636659655,-12.1023074294075,2.12404260260476e-21,2.23077574338565e-18,38.1572658466789
"235266_at",2.59269359766228,6.69429044418791,12.0942595053084,2.21098257581439e-21,2.27827153609342e-18,38.1178799412008
"226583_at",-1.3608517011435,10.4239867699172,-12.0774602902238,2.40413804691084e-21,2.43142946585078e-18,38.0356485018835
"1557852_at",3.14562508384035,7.72875520356295,12.0702728317162,2.49186694328283e-21,2.47433326133646e-18,38.0004590343277
"210471_s_at",-2.38000522894747,8.91497422782927,-12.0600474867538,2.62223937032731e-21,2.54823710941938e-18,37.9503888397918
"235125_x_at",-1.52168234991887,10.286728474279,-12.0539232547955,2.70357719814128e-21,2.54823710941938e-18,37.9203963275185
"203266_s_at",-1.54176278137791,10.3638384825128,-12.0537233680061,2.70627419014381e-21,2.54823710941938e-18,37.9194173596568
"227004_at",-2.53217195652958,9.5003443521794,-12.0305347609957,3.03819222121838e-21,2.8122846063966e-18,37.8058262710304
"218618_s_at",2.05396792818484,9.95723735339964,12.0099257825984,3.36732253098543e-21,3.06499308974512e-18,37.7048347459723
"1556007_s_at",1.56703554158878,10.4607241751067,12.0038218552051,3.47150340933745e-21,3.10801992941223e-18,37.6749166347327
"230298_at",-1.45647611634171,9.34717468619969,-11.99771929826,3.5788933997045e-21,3.15248556835583e-18,37.645002219592
"225232_at",-1.01935166875957,10.7598271538548,-11.9936289598426,3.65273251872891e-21,3.16645525468797e-18,37.6249499065981
"221486_at",-1.15703271931369,10.5645221319853,-11.9853440689038,3.80700792014437e-21,3.24862693035694e-18,37.5843302431731
"201028_s_at",2.37907690149387,12.1853359285308,11.9775458993077,3.95818722180167e-21,3.32566890375776e-18,37.5460918505972
"238022_at",4.09023621084177,7.60555561478527,11.9700388925353,4.10940872509284e-21,3.36369249618744e-18,37.5092765578115
"223413_s_at",1.73184989717639,7.98455015859635,11.9692018407097,4.12662547826632e-21,3.36369249618744e-18,37.5051712714662
"213327_s_at",-1.09304208612321,9.71287173163213,-11.9577997698558,4.3684818226533e-21,3.5084690850083e-18,37.4492446940926
"211270_x_at",1.83299392968409,11.3244886093156,11.942502957618,4.71543750252507e-21,3.73223461341162e-18,37.3741983036637
"200782_at",1.74017086058106,12.7565446717201,11.9221737554684,5.21969173742851e-21,4.0723289265169e-18,37.274434172677
"217886_at",-1.51693152964213,11.1048961282425,-11.8680559942861,6.84177784011254e-21,5.26267624200093e-18,37.008696721593
"225448_at",-1.39284209344932,10.3806738879821,-11.8541707677517,7.33394986027008e-21,5.56290282942958e-18,36.9404785958387
"219978_s_at",4.53255378907274,7.34126948774708,11.8498387809768,7.49465213237312e-21,5.60692379322319e-18,36.9191924993986
"212990_at",-1.76032777250222,10.6270905540607,-11.84513672175,7.6730827629646e-21,5.66283876937548e-18,36.8960863434336
"233110_s_at",2.16704796095103,7.4118171109188,11.840526567253,7.8521619291444e-21,5.67533558328866e-18,36.8734301638935
"223340_at",-2.25059461093184,10.9657586656917,-11.8393671682734,7.89785407009207e-21,5.67533558328866e-18,36.8677321479633
"221823_at",-1.45518416409084,9.98785667113974,-11.8353508926503,8.0582081174616e-21,5.71536259634975e-18,36.8479928470237
"213045_at",-2.69814943470336,9.75347581385298,-11.8220830974226,8.61151738937282e-21,6.0294974254592e-18,36.7827751636468
"202189_x_at",2.01649837444577,11.1742288627127,11.8148276019774,8.93004942433761e-21,6.14515564307888e-18,36.7471051934884
"224649_x_at",-1.59040409755767,9.50579037129243,-11.8085371120421,9.2157645626724e-21,6.14515564307888e-18,36.7161762154026
"217985_s_at",1.8304929639596,8.894487025658,11.8084899003359,9.21794322843978e-21,6.14515564307888e-18,36.7159440743174
"219148_at",3.88246875033436,8.36162352715873,11.8082982737406,9.22679147332078e-21,6.14515564307888e-18,36.7150018400444
"239575_at",-3.32816786496798,9.51931857636317,-11.8052323867705,9.36952095282162e-21,6.16305482921265e-18,36.6999263949082
"235360_at",-1.53912038784433,9.76464055226372,-11.801769577463,9.5333935207083e-21,6.16305482921265e-18,36.6828983655873
"224563_at",2.33814417392967,7.23472213973882,11.8005411470588,9.59221541543359e-21,6.16305482921265e-18,36.6768574603282
"202718_at",5.10709982781942,11.2562513995569,11.7802670253088,1.06173182522788e-20,6.74236746176396e-18,36.5771414168071
"207165_at",3.255261175595,7.31881512875446,11.7747948826538,1.09123646196453e-20,6.79412492375735e-18,36.5502219950897
"205738_s_at",-1.89730061056041,7.85465156038228,-11.7741507511099,1.0947631393453e-20,6.79412492375735e-18,36.5470531348692
"225066_at",-1.72236466921819,8.2336157661894,-11.7703938206896,1.11556161812311e-20,6.84541198320869e-18,36.5285699765767
"212701_at",-1.808582414676,9.64046353329573,-11.7629407894262,1.15800202748344e-20,6.94919862758199e-18,36.4918998094752
"235457_at",1.80949909583735,10.8659397282982,11.762839828403,1.15858791774231e-20,6.94919862758199e-18,36.4914030358536
"219565_at",1.77960937669945,7.97667152922323,11.7607728351997,1.17064851544054e-20,6.94919862758199e-18,36.4812323333486
"216306_x_at",1.92230014049521,11.4053316596176,11.7570354221397,1.1927763161212e-20,7.00441859702439e-18,36.4628414729876
"218350_s_at",1.51410867925698,10.205711729416,11.7422982390879,1.28419461461534e-20,7.46103409446678e-18,36.3903134437264
"225338_at",-1.05475662694806,10.7890742671026,-11.7296852544462,1.36799717598678e-20,7.80513707997066e-18,36.3282267719759
"226258_at",-1.61566737770791,9.28712221621383,-11.72656170268,1.38958433282036e-20,7.80513707997066e-18,36.3128494651559
"213811_x_at",2.24516474929117,9.04189743822285,11.7250382491838,1.40023666916873e-20,7.80513707997066e-18,36.3053492138366
"212917_x_at",1.26909045582157,9.77519623385259,11.7249881207938,1.40058856652651e-20,7.80513707997066e-18,36.305102419346
"228206_at",-2.87629892407176,8.49148093517312,-11.7152134543201,1.47092861311926e-20,8.08373156917933e-18,36.2569757968062
"214167_s_at",1.69933014066605,12.5256091527056,11.7128191675895,1.4886917694053e-20,8.08373156917933e-18,36.2451862032831
